title,posted_ago,length,views
40 Minute Full Body HIIT Strength Workout 🔥Burn 550 Calories!* 🔥Sydney Cummings,4 months,2580,43557
20 Minute Full Body Flexibility Stretch on my 29th Birthday! | Sydney Cummings,4 months,1440,9821
10 Minute Abs Workout | Sydney Cummings,4 months,780,23514
50 Minute Upper Body and Abs Circuit Workout 🔥Burn 460 Calories!* 🔥 Sydney Cummings,4 months,3240,20066
30 Minute HIIT Legs and Cardio Workout 🔥Burn 415 Calories!* 🔥Sydney Cummings,4 months,1980,33792
40 Minute Shoulders and Abs Burnout Workout 🔥Burn 365 Calories!* 🔥Sydney Cummings,4 months,2640,20169
10 Minute Resistance Band BOOTY BURNOUT WORKOUT! | Sydney Cummings,4 months,780,22751
30 Minute Glutes and Tabata Cardio Workout 🔥Burn 415 Calories!* 🔥Sydney Cummings,4 months,2040,34265
40 Minute Arms &amp; Abs Workout 🔥Burn 360 Calories!* 🔥Sydney Cummings,4 months,2580,32482
50 Minute Full Body HIIT Strength Workout 🔥Burn 550 Calories!* 🔥Sydney Cummings,4 months,3240,34625
20 Minute Full Body Mobility Stretch | Sydney Cummings,4 months,1380,13498
40 Minute Full Body Burnout Bootcamp Workout 🔥Burn 425 Calories!* 🔥Sydney Cummings,4 months,2640,24139
30 Minute HIIT Full Body Bodyweight Workout with Abs 🔥Burn 350 Calories!* 🔥Sydney Cummings,4 months,1980,29258
60 Minute Upper Body and Cardio Workout 🔥Burn 670 Calories!* 🔥Sydney Cummings,4 months,3840,22221
40 Minute Lean Legs and Abs Workout 🔥Burn 460 Calories!* 🔥Sydney Cummings,4 months,2520,35754
50 Minute Fat Burning Cardio Workout 🔥Burn 560 Calories!* 🔥Sydney Cummings,4 months,3180,33523
40 Minute Strength and Conditioning Workout 🔥Burn 475 Calories!* 🔥 Sydney Cummings,4 months,2520,29250
20 Minute Back &amp; Glutes Deep Stretch | Sydney Cummings,4 months,1320,9092
60 Minute Full Body Burnout Bootcamp Workout! 🔥Burn 590 Calories!* 🔥Sydney Cummings,4 months,3840,26359
30 Minute HIIT Bodyweight Workout! 🔥Burn 350 Calories!* 🔥Sydney Cummings,4 months,1980,27091
50 Minute Upper Body Strength and Cardio Workout 🔥Burn 540 Calories!* 🔥Sydney Cummings,4 months,3300,21319
40 Minute Lean Legs and Abs Workout! 🔥Burn 440 Calories!* 🔥Sydney Cummings,4 months,2640,28221
40 Minute Fat Burning Cardio Workout 🔥Burn 500 Calories!* 🔥Sydney Cummings,4 months,2700,51751
50 Minute Strength and Conditioning Workout 🔥Burn 580 Calories!* 🔥Sydney Cummings,4 months,3180,27091
20 Minute Sore Body Stretch | Sydney Cummings,4 months,1380,8801
40 Minute Burnout Bootcamp Workout 🔥Burn 440 Calories!* 🔥Sydney Cummings,4 months,2580,28685
10 Minute BUTT AND THIGHS BURNOUT WORKOUT! Sydney Cummings,4 months,840,21514
50 Minute FULL BODY WORKOUT WITH ABS! No Equipment Needed! 🔥Burn 580 Calories!* 🔥 Sydney Cummings,4 months,3240,29069
30 Minute Upper Body Strength and Cardio Workout! 🔥Burn 350 Calories!* 🔥Sydney Cummings,4 months,2100,26275
60 Minute Lean Legs and Abs Workout 🔥Burn 670 Calories!* 🔥Sydney Cummings,4 months,3960,30208
30 Minute FAT BURNING CARDIO WORKOUT! 🔥Burn 380 Calories!* 🔥Sydney Cummings,5 months,2040,39092
50 Minute Strength &amp; Conditioning Workout 🔥Burn 580 Calories!* 🔥Sydney Cummings,5 months,3300,26116
20 Minute Resistance Band or Towel Deep Stretch | Sydney Cummings,5 months,1380,8216
40 Minute Full Body Burnout Bootcamp Workout 🔥Burn 395 Calories!* 🔥Sydney Cummings,5 months,2580,30518
60 Minute FULL BODY WORKOUT WITH ABS! No Equipment Needed! 🔥Burn 705 Calories!* 🔥Sydney Cummings,5 months,3900,42293
30 Minute Upper Body Strength and Cardio Workout 🔥Burn 340 Calories!* 🔥Sydney Cummings,5 months,2100,26979
50 Minute LEAN LEGS AND ABS WORKOUT! 🔥Burn 560 Calories!* 🔥 Sydney Cummings,5 months,3240,36154
30 Minute FAT BURNING CARDIO WORKOUT! 🔥Burn 430 Calories!* 🔥 Sydney Cummings,5 months,2040,64378
40 Minute Strength and Conditioning Workout 🔥Burn 510 Calories!* 🔥Sydney Cummings,5 months,2640,38986
20 Minute Rest Day Deep Stretch | Sydney Cummings,5 months,1320,10346
60 Minute FULL BODY BURNOUT BOOTCAMP Workout 🔥Burn 660 Calories!* 🔥Sydney Cummings,5 months,3900,38275
50 Minute Full Body Bodyweight Workout! 🔥Burn 560 Calories!*🔥 Sydney Cummings,5 months,3240,35310
40 Minute Upper Body and Cardio Workout 🔥Burn 550 Calories!* 🔥Sydney Cummings,5 months,2640,48055
60 Minute Power Strength Workout 🔥Burn 680 Calories!* 🔥Sydney Cummings,5 months,3840,26938
40 Minute Cardio Speed and Agility HIIT Workout 🔥Burn 490 Calories!* 🔥Sydney Cummings,5 months,2640,31901
50 Minute Full Body Dumbbell HIIT Workout 🔥Burn 570 Calories! 🔥Sydney Cummings,5 months,3240,35644
20 Minute Full Body Stretch for Sore Muscles | Sydney Cummings,5 months,1320,8787
40 Minute Conditioning and Core Workout 🔥Burn 415 Calories!* 🔥Sydney Cummings,5 months,2640,24945
40 Minute Dumbbell Sculpt Workout 🔥Burn 400 Calories!* 🔥Sydney Cummings,5 months,2580,35316
50 Minute Power Plyometrics and Abs Workout 🔥Burn 540 Calories!* 🔥Sydney Cummings,5 months,3300,26876
40 Minute Power Strength Workout 🔥Burn 410 Calories!* 🔥Sydney Cummings,5 months,2580,30946
"30 Minute Cardio, Speed, and Agility Workout! NO EQUIPMENT! 🔥Burn 350 Calories!* 🔥Sydney Cummings",5 months,1980,38502
60 Minute Dumbbell HIIT Workout! 🔥Burn 645 Calories!* 🔥Sydney Cummings,5 months,3840,36500
20 Minute Deep Stretch | Sydney Cummings,5 months,1380,8714
30 Minute Core and Conditioning Workout 🔥Burn 310 Calories!* 🔥Sydney Cummings,5 months,1980,28184
40 Minute Full Body Dumbbell Sculpt Workout 🔥Burn 370 Calories!* 🔥Sydney Cummings,5 months,2520,30098
40 Minute Plyometric and Abs Workout 🔥Burn 400 Calories!* 🔥Sydney Cummings,5 months,2520,24547
50 Minute Power and Strength Workout 🔥Burn 450 Calories!* 🔥Sydney Cummings,5 months,3180,23137
60 Minute Cardio Speed and Agility Workout 🔥Burn 650 Calories!* 🔥Sydney Cummings,5 months,3780,38147
30 Minute Full Body Dumbbell HIIT Workout 🔥Burn 370 Calories!* 🔥Sydney Cummings,5 months,2100,56921
20 Minute Full Body Slow Stretch | Sydney Cummings,5 months,1380,8286
50 Minute HIIT Core and Cardio Workout 🔥Burn 480 Calories!* 🔥Sydney Cummings,6 months,3240,22685
30 Minute Full Body Dumbbell Sculpt Workout 🔥Burn 270 Calories!* 🔥Sydney Cummings,6 months,1920,28000
40 Minute Plyometric and Abs Workout 🔥Burn 410 Calories!* 🔥Sydney Cummings,6 months,2580,27266
60 Minute Power Strength Workout 🔥Burn 640 Calories!* 🔥Sydney Cummings,6 months,3780,32560
40 Minute Cardio Speed and Agility HIIT Workout 🔥Burn 460 Calories!* 🔥Sydney Cummings,6 months,2580,37508
50 Minute Full Body Dumbbell HIIT Workout 🔥Burn 590 Calories!* 🔥Sydney Cummings,6 months,3180,43416
20 Minute Recovery Day Stretch | Sydney Cummings,6 months,1440,7836
30 Minute HIIT Core and Conditioning Workout! 🔥Burn 315 Calories!* 🔥Sydney Cummings,6 months,1980,30709
30 Minute Full Body Dumbbell Sculpt Workout! 🔥Burn 305 Calories!* 🔥Sydney Cummings,6 months,1980,46012
30 Minute Plyometrics and Abs Workout 🔥Burn 400 Calories!* 🔥Sydney Cummings,6 months,1860,38760
40 Minute Power Strength Workout 🔥Burn 425 Calories!* 🔥Sydney Cummings,6 months,2580,29451
50 Minute Cardio Speed and Agility HIIT Workout 🔥Burn 670 Calories!* 🔥Sydney Cummings,6 months,3120,45505
40 Minute Full Body HIIT Workout with Dumbbells! 🔥Burn 540 Calories!* 🔥Sydney Cummings,6 months,2580,76794
30 Minute Full Body Deep Stretch | Sydney Cummings,6 months,1980,11446
30 Minute Full Body Dumbbell Sculpt Workout! 🔥Burn 350 Calories!* 🔥Sydney Cummings,6 months,1980,37569
